,value
0,0
1,1
2,0
3,0
4,0
5,2
6,0
7,0
8,0
9,2
10,0
11,0
12,0
13,0
14,0
15,3
16,0
17,0
18,1
19,0
20,0
21,0
22,0
24,0
25,2
26,1
27,1
28,2
29,0
30,1
31,0
32,0
33,1
34,0
35,3
36,0
37,0
38,1
39,0
40,3
41,0
42,0
43,3
44,3
45,0
46,0
47,1
48,0
49,1
50,0
51,0
52,0
53,0
54,0
55,3
56,0
57,0
58,0
59,0
60,2
61,1
62,2
63,1
64,2
65,0
66,1
67,1
68,0
69,0
70,0
71,0
72,3
73,1
74,0
75,0
76,1
77,0
78,0
79,0
80,3
81,1
82,1
83,0
84,0
85,0
86,2
87,2
88,1
89,2
90,0
91,0
92,0
93,0
94,0
95,1
96,1
97,0
98,0
99,0
100,0
101,0
102,0
103,3
104,0
105,1
106,0
107,0
