,value
0,0
1,3
2,0
3,0
4,1
5,3
6,0
7,0
8,0
9,3
10,0
11,0
12,0
13,0
14,0
15,1
16,0
17,0
18,1
19,0
20,1
21,0
22,0
24,1
25,3
26,0
27,0
28,3
29,0
30,3
31,0
32,0
33,1
34,0
35,3
36,3
37,0
38,1
39,0
40,3
41,0
42,0
43,3
44,2
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,1
53,0
54,0
55,3
56,0
57,0
58,0
59,0
60,1
61,3
62,0
63,0
64,2
65,3
66,0
67,3
68,2
69,0
70,2
71,0
72,3
73,2
74,0
75,0
76,3
77,0
78,0
79,0
80,1
81,1
82,3
83,0
84,0
85,1
86,2
87,1
88,1
89,2
90,0
91,0
92,0
93,0
94,1
95,2
96,2
97,0
98,3
99,0
100,1
101,0
102,0
103,3
104,0
105,0
106,0
107,0
