,value
0,0
1,3
2,0
3,0
4,0
5,3
6,0
7,0
8,0
9,2
10,0
11,0
12,0
13,0
14,0
15,3
16,0
17,0
18,1
19,0
20,0
21,1
22,1
24,0
25,3
26,0
27,0
28,3
29,0
30,2
31,0
32,0
33,2
34,0
35,3
36,3
37,0
38,0
39,0
40,3
41,0
42,0
43,3
44,2
45,0
46,0
47,0
48,0
49,2
50,0
51,0
52,1
53,0
54,0
55,3
56,0
57,0
58,0
59,2
60,1
61,1
62,2
63,0
64,1
65,0
66,1
67,3
68,1
69,0
70,0
71,0
72,2
73,2
74,0
75,0
76,3
77,0
78,0
79,0
80,2
81,2
82,3
83,0
84,1
85,0
86,1
87,3
88,1
89,3
90,0
91,0
92,0
93,0
94,0
95,3
96,0
97,0
98,0
99,2
100,2
101,0
102,0
103,3
104,0
105,1
106,0
107,0
