,value
0,0
1,2
2,0
3,0
4,1
5,3
6,0
7,0
8,0
9,3
10,0
11,0
12,0
13,0
14,0
15,3
16,0
17,0
18,0
19,2
20,1
21,1
22,0
24,0
25,3
26,0
27,0
28,3
29,0
30,2
31,1
32,0
33,3
34,0
35,3
36,3
37,0
38,3
39,0
40,3
41,0
42,0
43,3
44,2
45,0
46,3
47,0
48,0
49,3
50,0
51,0
52,0
53,2
54,0
55,3
56,0
57,3
58,0
59,0
60,3
61,3
62,0
63,1
64,1
65,0
66,0
67,2
68,2
69,0
70,3
71,0
72,3
73,1
74,0
75,0
76,3
77,0
78,0
79,0
80,2
81,2
82,3
83,0
84,0
85,2
86,2
87,2
88,0
89,2
90,0
91,2
92,0
93,0
94,1
95,3
96,2
97,0
98,0
99,2
100,1
101,0
102,0
103,3
104,0
105,1
106,0
107,0
