,value
0,0
1,1
2,0
3,0
4,0
5,3
6,0
7,1
8,0
9,2
10,0
11,1
12,0
13,0
14,0
15,3
16,0
17,0
18,1
19,1
20,1
21,2
22,1
24,0
25,2
26,0
27,1
28,3
29,1
30,3
31,0
32,0
33,3
34,0
35,3
36,3
37,0
38,3
39,0
40,3
41,0
42,0
43,3
44,1
45,0
46,0
47,0
48,0
49,2
50,0
51,0
52,3
53,2
54,0
55,3
56,0
57,3
58,1
59,2
60,3
61,3
62,2
63,1
64,3
65,1
66,1
67,3
68,1
69,0
70,0
71,0
72,2
73,2
74,0
75,0
76,3
77,0
78,0
79,0
80,3
81,0
82,3
83,0
84,1
85,1
86,2
87,3
88,1
89,3
90,0
91,0
92,0
93,0
94,0
95,3
96,0
97,1
98,2
99,2
100,2
101,0
102,0
103,3
104,0
105,3
106,0
107,0
