,t_34
0,0
1,3
2,0
3,0
4,0
5,3
6,0
7,1
8,0
9,3
10,0
11,1
12,0
13,0
14,0
15,2
16,0
17,0
18,1
19,1
20,2
21,1
22,2
24,2
25,2
26,0
27,0
28,3
29,0
30,3
31,0
32,0
33,3
34,0
35,3
36,3
37,2
38,1
39,0
40,3
41,0
42,0
43,3
44,1
45,0
46,1
47,1
48,0
49,3
50,0
51,0
52,0
53,0
54,0
55,3
56,0
57,3
58,1
59,1
60,3
61,3
62,2
63,1
64,2
65,0
66,2
67,0
68,2
69,0
70,2
71,0
72,3
73,2
74,0
75,0
76,3
77,0
78,0
79,0
80,2
81,1
82,3
83,0
84,1
85,1
86,0
87,0
88,3
89,3
90,0
91,0
92,0
93,0
94,2
95,3
96,2
97,0
98,1
99,2
100,2
101,0
102,0
103,3
104,0
105,1
106,0
107,0
