,value
0,0
1,2
2,0
3,0
4,0
5,1
6,0
7,1
8,0
9,3
10,0
11,1
12,0
13,0
14,0
15,1
16,0
17,0
18,3
19,0
20,2
21,1
22,0
24,2
25,1
26,0
27,0
28,3
29,0
30,1
31,0
32,0
33,0
34,0
35,3
36,1
37,0
38,1
39,0
40,3
41,0
42,0
43,3
44,1
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,1
53,0
54,0
55,3
56,0
57,1
58,1
59,0
60,0
61,1
62,2
63,1
64,2
65,0
66,0
67,1
68,0
69,1
70,0
71,0
72,2
73,1
74,0
75,0
76,0
77,0
78,0
79,0
80,1
81,0
82,3
83,0
84,1
85,0
86,2
87,0
88,2
89,2
90,0
91,0
92,0
93,0
94,1
95,1
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,3
104,0
105,0
106,0
107,0
