,t_13
0,0
1,2
2,0
3,0
4,2
5,1
6,0
7,0
8,2
9,1
10,0
11,1
12,0
13,1
14,0
15,3
16,0
17,0
18,3
19,1
20,1
21,0
22,0
24,2
25,3
26,0
27,0
28,3
29,0
30,2
31,1
32,0
33,1
34,0
35,3
36,0
37,0
38,3
39,0
40,3
41,0
42,0
43,3
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,1
54,0
55,3
56,0
57,0
58,0
59,0
60,3
61,2
62,1
63,2
64,3
65,0
66,0
67,3
68,0
69,0
70,0
71,0
72,2
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,3
81,1
82,2
83,0
84,1
85,0
86,0
87,1
88,1
89,1
90,0
91,3
92,0
93,0
94,0
95,1
96,1
97,1
98,0
99,1
100,1
101,0
102,0
103,3
104,0
105,0
106,0
107,0
