,t_11
0,0
1,2
2,0
3,0
4,0
5,1
6,0
7,3
8,0
9,2
10,0
11,0
12,0
13,1
14,0
15,3
16,0
17,1
18,0
19,0
20,0
21,1
22,0
24,3
25,2
26,0
27,0
28,3
29,0
30,3
31,0
32,0
33,2
34,0
35,3
36,1
37,0
38,0
39,0
40,3
41,0
42,0
43,2
44,1
45,0
46,0
47,2
48,0
49,2
50,0
51,0
52,1
53,0
54,0
55,3
56,0
57,1
58,1
59,0
60,1
61,1
62,2
63,1
64,1
65,0
66,0
67,1
68,3
69,1
70,1
71,0
72,1
73,1
74,0
75,0
76,0
77,0
78,0
79,0
80,3
81,1
82,1
83,0
84,1
85,0
86,1
87,1
88,2
89,3
90,0
91,0
92,1
93,0
94,0
95,1
96,0
97,0
98,2
99,1
100,0
101,0
102,0
103,3
104,0
105,2
106,0
107,0
