,t_24
0,0
1,2
2,0
3,0
4,0
5,3
6,0
7,3
8,0
9,0
10,0
11,2
12,0
13,0
14,0
15,1
16,0
17,0
18,1
19,0
20,2
21,1
22,0
24,2
25,3
26,0
27,1
28,3
29,1
30,3
31,0
32,0
33,0
34,0
35,3
36,3
37,2
38,3
39,0
40,3
41,0
42,0
43,3
44,1
45,0
46,1
47,0
48,0
49,3
50,0
51,0
52,1
53,3
54,0
55,3
56,0
57,0
58,0
59,0
60,0
61,3
62,1
63,2
64,2
65,2
66,0
67,2
68,3
69,0
70,1
71,0
72,3
73,0
74,0
75,0
76,3
77,0
78,0
79,0
80,2
81,1
82,3
83,0
84,2
85,1
86,0
87,2
88,3
89,3
90,0
91,0
92,0
93,0
94,1
95,3
96,1
97,0
98,1
99,1
100,0
101,0
102,0
103,3
104,0
105,1
106,0
107,0
