,t_19
0,0
1,0
2,0
3,0
4,2
5,3
6,0
7,0
8,0
9,1
10,0
11,1
12,0
13,1
14,0
15,3
16,0
17,0
18,0
19,0
20,2
21,0
22,1
24,2
25,3
26,0
27,1
28,3
29,0
30,3
31,0
32,0
33,0
34,0
35,3
36,3
37,2
38,0
39,0
40,3
41,0
42,0
43,3
44,1
45,0
46,1
47,0
48,0
49,3
50,0
51,0
52,0
53,3
54,0
55,3
56,0
57,0
58,0
59,0
60,3
61,3
62,2
63,0
64,0
65,0
66,0
67,2
68,0
69,0
70,1
71,0
72,3
73,2
74,0
75,0
76,1
77,0
78,0
79,0
80,3
81,2
82,3
83,0
84,2
85,2
86,1
87,3
88,2
89,2
90,0
91,2
92,0
93,0
94,1
95,1
96,0
97,0
98,1
99,1
100,0
101,0
102,0
103,3
104,0
105,0
106,0
107,0
