,value
0,0
1,1
2,0
3,0
4,0
5,3
6,0
7,1
8,0
9,2
10,0
11,1
12,0
13,0
14,0
15,2
16,0
17,0
18,1
19,0
20,2
21,0
22,0
24,2
25,3
26,1
27,1
28,3
29,0
30,3
31,0
32,0
33,0
34,0
35,3
36,3
37,0
38,0
39,0
40,3
41,0
42,1
43,3
44,1
45,0
46,1
47,0
48,0
49,3
50,0
51,0
52,0
53,0
54,0
55,3
56,0
57,1
58,0
59,0
60,3
61,3
62,0
63,1
64,3
65,0
66,0
67,2
68,3
69,2
70,0
71,0
72,1
73,1
74,0
75,0
76,3
77,0
78,0
79,0
80,3
81,2
82,3
83,0
84,0
85,2
86,1
87,2
88,3
89,3
90,0
91,2
92,0
93,0
94,1
95,3
96,0
97,0
98,3
99,1
100,0
101,0
102,0
103,3
104,0
105,3
106,0
107,0
