,t_36
0,0
1,3
2,0
3,0
4,0
5,3
6,0
7,1
8,0
9,2
10,0
11,3
12,0
13,0
14,0
15,3
16,0
17,0
18,1
19,0
20,0
21,1
22,2
24,0
25,3
26,0
27,0
28,3
29,0
30,1
31,0
32,0
33,1
34,0
35,3
36,3
37,1
38,0
39,0
40,3
41,0
42,0
43,3
44,3
45,0
46,2
47,0
48,0
49,3
50,0
51,0
52,0
53,2
54,0
55,3
56,0
57,0
58,1
59,2
60,1
61,3
62,2
63,1
64,2
65,0
66,2
67,0
68,2
69,0
70,3
71,0
72,2
73,2
74,0
75,0
76,3
77,0
78,0
79,0
80,2
81,3
82,3
83,0
84,2
85,1
86,1
87,3
88,3
89,3
90,0
91,0
92,0
93,0
94,0
95,3
96,0
97,0
98,3
99,2
100,1
101,0
102,0
103,3
104,0
105,0
106,0
107,0
