,value
0,0
1,3
2,0
3,0
4,0
5,1
6,0
7,1
8,0
9,3
10,0
11,0
12,0
13,0
14,0
15,3
16,0
17,0
18,3
19,0
20,0
21,1
22,1
24,0
25,3
26,0
27,0
28,3
29,0
30,1
31,0
32,0
33,1
34,0
35,3
36,3
37,1
38,0
39,0
40,3
41,0
42,1
43,3
44,0
45,0
46,0
47,1
48,0
49,3
50,0
51,0
52,1
53,2
54,0
55,3
56,0
57,1
58,0
59,3
60,3
61,0
62,2
63,3
64,2
65,0
66,1
67,3
68,3
69,0
70,3
71,0
72,3
73,2
74,0
75,0
76,3
77,0
78,0
79,0
80,2
81,0
82,3
83,0
84,1
85,0
86,0
87,3
88,0
89,3
90,0
91,0
92,0
93,0
94,0
95,3
96,2
97,0
98,0
99,2
100,1
101,0
102,0
103,3
104,0
105,3
106,0
107,0
