,value
0,0
1,1
2,0
3,0
4,0
5,3
6,1
7,0
8,0
9,2
10,0
11,0
12,0
13,0
14,0
15,3
16,0
17,0
18,1
19,1
20,3
21,2
22,2
24,0
25,3
26,0
27,2
28,3
29,0
30,2
31,0
32,0
33,1
34,0
35,3
36,3
37,0
38,3
39,0
40,1
41,0
42,0
43,3
44,1
45,0
46,3
47,2
48,0
49,3
50,0
51,0
52,0
53,2
54,0
55,3
56,0
57,2
58,0
59,1
60,1
61,3
62,2
63,1
64,2
65,1
66,1
67,3
68,2
69,1
70,0
71,0
72,2
73,2
74,0
75,0
76,3
77,0
78,0
79,0
80,2
81,0
82,3
83,0
84,0
85,1
86,3
87,3
88,3
89,1
90,0
91,0
92,0
93,0
94,1
95,3
96,2
97,0
98,3
99,2
100,2
101,0
102,0
103,3
104,0
105,2
106,0
107,0
