,t_29
0,0
1,2
2,0
3,0
4,0
5,2
6,0
7,0
8,0
9,2
10,0
11,0
12,0
13,0
14,0
15,3
16,0
17,0
18,0
19,0
20,3
21,1
22,0
24,1
25,3
26,0
27,1
28,3
29,0
30,2
31,0
32,0
33,2
34,0
35,3
36,3
37,0
38,3
39,0
40,3
41,0
42,0
43,3
44,2
45,0
46,3
47,2
48,0
49,3
50,0
51,0
52,0
53,0
54,0
55,3
56,0
57,1
58,0
59,2
60,1
61,3
62,2
63,0
64,3
65,0
66,0
67,3
68,2
69,0
70,1
71,0
72,3
73,2
74,0
75,0
76,3
77,0
78,0
79,0
80,2
81,3
82,3
83,0
84,0
85,0
86,3
87,2
88,0
89,2
90,0
91,0
92,0
93,0
94,0
95,3
96,2
97,0
98,0
99,2
100,1
101,0
102,0
103,3
104,0
105,2
106,0
107,0
