,value
0,0
1,1
2,0
3,0
4,1
5,2
6,1
7,0
8,0
9,3
10,0
11,2
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,0
20,1
21,1
22,1
24,0
25,3
26,0
27,1
28,3
29,0
30,2
31,0
32,0
33,0
34,0
35,3
36,1
37,2
38,2
39,0
40,3
41,0
42,1
43,3
44,3
45,0
46,0
47,0
48,0
49,3
50,0
51,0
52,2
53,1
54,0
55,3
56,0
57,1
58,1
59,1
60,1
61,1
62,0
63,0
64,1
65,2
66,0
67,2
68,3
69,0
70,0
71,0
72,2
73,2
74,0
75,0
76,0
77,0
78,0
79,0
80,3
81,0
82,3
83,0
84,0
85,0
86,1
87,2
88,2
89,2
90,0
91,0
92,0
93,0
94,0
95,3
96,0
97,0
98,2
99,1
100,0
101,0
102,0
103,3
104,0
105,2
106,0
107,0
