,t_25
0,0
1,1
2,0
3,0
4,0
5,1
6,0
7,1
8,0
9,3
10,0
11,1
12,0
13,0
14,0
15,2
16,0
17,2
18,2
19,3
20,2
21,0
22,1
24,2
25,2
26,0
27,0
28,3
29,0
30,3
31,0
32,0
33,1
34,0
35,3
36,3
37,1
38,3
39,0
40,3
41,0
42,0
43,3
44,3
45,0
46,2
47,0
48,0
49,3
50,0
51,0
52,0
53,0
54,0
55,3
56,0
57,0
58,0
59,0
60,1
61,3
62,2
63,1
64,3
65,0
66,0
67,1
68,1
69,0
70,0
71,0
72,2
73,1
74,0
75,0
76,3
77,0
78,0
79,0
80,3
81,1
82,3
83,0
84,0
85,0
86,3
87,3
88,1
89,3
90,0
91,1
92,0
93,0
94,1
95,3
96,0
97,0
98,0
99,2
100,0
101,0
102,0
103,3
104,0
105,0
106,0
107,0
