,t_28
0,0
1,1
2,0
3,0
4,1
5,0
6,0
7,0
8,0
9,1
10,0
11,0
12,0
13,0
14,0
15,3
16,0
17,1
18,2
19,1
20,2
21,2
22,1
24,3
25,3
26,0
27,0
28,3
29,0
30,1
31,0
32,0
33,3
34,0
35,3
36,3
37,2
38,0
39,0
40,3
41,0
42,1
43,3
44,0
45,0
46,1
47,0
48,0
49,3
50,0
51,0
52,1
53,3
54,0
55,3
56,0
57,0
58,2
59,3
60,1
61,3
62,1
63,2
64,1
65,1
66,0
67,3
68,2
69,0
70,0
71,0
72,2
73,1
74,0
75,0
76,3
77,0
78,0
79,0
80,3
81,1
82,3
83,0
84,0
85,1
86,3
87,3
88,3
89,3
90,0
91,1
92,1
93,0
94,0
95,3
96,0
97,0
98,0
99,1
100,1
101,0
102,0
103,3
104,0
105,1
106,0
107,0
