,t_10
0,0
1,2
2,0
3,0
4,2
5,1
6,0
7,1
8,1
9,1
10,0
11,0
12,0
13,0
14,0
15,2
16,0
17,1
18,1
19,0
20,1
21,0
22,1
24,2
25,2
26,0
27,0
28,2
29,0
30,2
31,0
32,0
33,1
34,0
35,3
36,0
37,1
38,1
39,0
40,2
41,0
42,0
43,3
44,0
45,0
46,0
47,1
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,3
56,0
57,0
58,0
59,0
60,1
61,1
62,2
63,0
64,0
65,0
66,0
67,3
68,0
69,0
70,0
71,0
72,0
73,2
74,0
75,0
76,0
77,0
78,0
79,0
80,3
81,3
82,2
83,0
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,3
104,0
105,3
106,0
107,0
