,t_9
0,0
1,2
2,0
3,0
4,0
5,2
6,0
7,0
8,0
9,3
10,0
11,1
12,0
13,0
14,0
15,1
16,0
17,0
18,1
19,0
20,0
21,0
22,0
24,1
25,0
26,0
27,0
28,1
29,1
30,0
31,0
32,0
33,0
34,0
35,3
36,0
37,0
38,2
39,0
40,3
41,0
42,0
43,3
44,2
45,0
46,0
47,1
48,0
49,1
50,0
51,0
52,0
53,0
54,0
55,2
56,0
57,0
58,0
59,0
60,0
61,1
62,0
63,1
64,0
65,1
66,0
67,2
68,1
69,0
70,0
71,0
72,0
73,1
74,0
75,0
76,0
77,0
78,0
79,0
80,3
81,0
82,3
83,0
84,0
85,0
86,0
87,1
88,1
89,3
90,0
91,2
92,0
93,0
94,0
95,1
96,1
97,0
98,1
99,0
100,0
101,0
102,0
103,3
104,0
105,0
106,0
107,0
